Test Name	Expected	Status	Time
C7503_3000	<font face="Century Gothic" color="blue"><b> Started Iteration 1</b></font>	PASS	6/29/2020 2:15:02 PM
C7503_3000	<font face="Century Gothic" color="blue"><b> Started PO Creation Steps</b></font>	PASS	6/29/2020 2:15:02 PM
C7503_3000	Ariba login page is launched successfully	PASS	6/29/2020 2:15:11 PM
C7503_3000	Successfully entered value as "autodigir2" in 'UserName	PASS	6/29/2020 2:15:11 PM
C7503_3000	Value successfully entered in 'Password' field	PASS	6/29/2020 2:15:12 PM
C7503_3000	Clicked on 'Login' button successfully	PASS	6/29/2020 2:15:14 PM
C7503_3000	Ariba Application is login successfully with Username autodigir2	PASS	6/29/2020 2:15:22 PM
C7503_3000	Clicked on 'Create' button successfully	PASS	6/29/2020 2:15:26 PM
C7503_3000	Navigated successfully to Create->Requisition	PASS	6/29/2020 2:15:28 PM
C7503_3000	Successfully entered value as "CreatePurchaseRequisition" in 'Title	PASS	6/29/2020 2:15:30 PM
C7503_3000	Successfully the field value entered as 'Delay Purchase'	PASS	6/29/2020 2:15:31 PM
C7503_3000	Successfully the value selected from 'SearchMore' menu	PASS	6/29/2020 2:15:40 PM
C7503_3000	Successfully the value selected from 'listType' list	PASS	6/29/2020 2:15:59 PM
C7503_3000	Successfully entered value as "3000" in 'SearchName	PASS	6/29/2020 2:15:59 PM
C7503_3000	Clicked on 'SearchButton' button successfully	PASS	6/29/2020 2:16:00 PM
C7503_3000	Clicked on 'SelectButton' button successfully	PASS	6/29/2020 2:16:05 PM
C7503_3000	Navigated successfully and 3000  Value has been selected	PASS	6/29/2020 2:16:05 PM
C7503_3000	Successfully entered value as "AUTODESK 3000" in 'DeliverTo	PASS	6/29/2020 2:16:09 PM
C7503_3000	Successfully entered value as "Create Requisition" in 'Comments	PASS	6/29/2020 2:16:09 PM
C7503_3000	Requisition details are filled in Summary section	PASS	6/29/2020 2:16:10 PM
C7503_3000	Clicked on 'ContinueShopping' button successfully	PASS	6/29/2020 2:16:12 PM
C7503_3000	Catlog Home page exists Successfully	PASS	6/29/2020 2:16:14 PM
C7503_3000	Clicked on 'Add Non-Catolog' button successfully	PASS	6/29/2020 2:16:21 PM
C7503_3000	Successfully the value selected from 'SearchMore' menu	PASS	6/29/2020 2:16:32 PM
C7503_3000	Successfully the value selected from 'listType' list	PASS	6/29/2020 2:16:51 PM
C7503_3000	Successfully entered value as "3000" in 'SearchName	PASS	6/29/2020 2:16:51 PM
C7503_3000	Clicked on 'SearchButton' button successfully	PASS	6/29/2020 2:16:52 PM
C7503_3000	Clicked on 'SelectButton' button successfully	PASS	6/29/2020 2:16:57 PM
C7503_3000	Navigated successfully and 3000  Value has been selected	PASS	6/29/2020 2:16:58 PM
C7503_3000	Successfully entered value as "Line item 1" in 'Full Description	PASS	6/29/2020 2:16:58 PM
C7503_3000	Successfully the value selected from 'SearchMore' menu	PASS	6/29/2020 2:17:06 PM
C7503_3000	Successfully the value selected from 'listType' list	PASS	6/29/2020 2:17:25 PM
C7503_3000	Successfully entered value as "104PC" in 'SearchName	PASS	6/29/2020 2:17:25 PM
C7503_3000	Clicked on 'SearchButton' button successfully	PASS	6/29/2020 2:17:27 PM
C7503_3000	Clicked on 'SelectButton' button successfully	PASS	6/29/2020 2:17:32 PM
C7503_3000	Navigated successfully and 104PC  Value has been selected	PASS	6/29/2020 2:17:32 PM
C7503_3000	Successfully entered value as "5" in 'Quantity	PASS	6/29/2020 2:17:33 PM
C7503_3000	Successfully the value selected from 'Others' menu	PASS	6/29/2020 2:17:42 PM
C7503_3000	Successfully the value selected from 'listType' list	PASS	6/29/2020 2:18:01 PM
C7503_3000	Successfully entered value as "USD" in 'SearchName	PASS	6/29/2020 2:18:01 PM
C7503_3000	Clicked on 'SearchButton' button successfully	PASS	6/29/2020 2:18:02 PM
C7503_3000	Clicked on 'SelectButton' button successfully	PASS	6/29/2020 2:18:07 PM
C7503_3000	Navigated successfully and USD  Value has been selected	PASS	6/29/2020 2:18:07 PM
C7503_3000	Successfully entered value as "1000" in 'Price	PASS	6/29/2020 2:18:16 PM
C7503_3000	Clicked on 'Update Amount' button successfully	PASS	6/29/2020 2:18:17 PM
C7503_3000	"'AmountFields'" retrieved value is : "AmountFields"	PASS	6/29/2020 2:18:25 PM
